Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Ken Holland,L,4,2,0,2,1,,97,80,17,0.825,4.96,205:46,0,0,0,0,0
Adam Huska,L,1,1,0,1,,0,39,32,7,0.821,7.04,59:42,0,0,0,0,0
Kaden Fulcher,L,1,0,0,0,,0,11,9,2,0.818,4.41,27:13,0,0,0,0,0
Artyom Zagidulin,L,1,0,0,0,,0,11,9,2,0.818,4.25,28:13,0,0,0,0,0
Alfie Michaud,L,2,0,0,1,0,,27,22,5,0.815,4.32,69:23,0,0,0,0,0
Scott King,L,2,0,0,0,0,,16,13,3,0.813,2.93,61:29,0,0,0,0,0
Bob Ring,L,1,0,0,0,0,,21,17,4,0.81,7.24,33:10,0,0,0,0,0
Marek Schwarz,R,6,1,0,2,,0,47,38,9,0.809,4.32,125:04,0,0,0,0,0
Joacim Eriksson,R,1,0,0,0,,0,31,25,6,0.806,9.99,36:02,0,0,0,0,0
Jean Levasseur,R,1,1,0,1,0,,36,29,7,0.806,7.0,60:00,0,0,0,0,0
Ronald Loustel,L,1,1,0,1,0,,51,41,10,0.804,10.0,60:00,0,0,0,0,0
Karl Friesen,L,4,2,0,2,1,,80,64,16,0.8,7.38,130:04,0,0,1,1,0
Ross McKay,L,1,0,0,0,0,,15,12,3,0.8,5.17,34:47,0,0,0,0,0
Jim Watt,L,1,0,0,0,0,,10,8,2,0.8,6.0,20:00,0,0,0,0,0
Dimitri Patzold,L,3,0,0,0,,0,20,16,4,0.8,5.51,43:35,0,0,0,0,0
David Littman,L,3,2,0,2,0,,68,54,14,0.794,5.95,141:09,0,0,0,0,0
David Gagnon,L,2,1,0,1,0,,28,22,6,0.786,10.3,34:57,0,0,0,0,0
Jack LaFontaine,L,2,1,0,1,,0,41,32,9,0.78,7.2,74:57,0,0,0,0,0
Shawn MacKenzie,L,6,1,0,1,0,,68,53,15,0.779,6.92,130:08,0,0,0,0,0
Julian Klymkiw,R,1,0,0,0,0,,9,7,2,0.778,6.37,18:50,0,0,0,0,0
Michael DiPietro,L,3,2,0,2,,0,48,37,11,0.771,5.25,125:44,0,0,0,0,0
Mike Greenlay,L,2,0,0,0,0,,17,13,4,0.765,11.75,20:26,0,0,1,1,0
Murray McLachlan,L,2,1,0,1,0,,17,13,4,0.765,9.72,24:42,0,0,0,0,0
Jean-Guy Morissette,L,1,0,0,1,0,,17,13,4,0.765,6.6,36:22,0,0,0,0,0
Paul Pageau,L,1,1,0,1,0,,34,26,8,0.765,8.0,60:00,0,0,0,0,0
Paxton Schafer,L,3,0,0,0,0,,25,19,6,0.76,4.65,77:28,0,0,0,0,0
Gregg Naumenko,L,2,1,0,1,0,,29,22,7,0.759,5.99,70:06,0,0,0,0,2
Steve McKichan,L,1,0,0,0,0,,8,6,2,0.75,6.0,20:00,0,0,0,0,0
Paul Hoganson,R,2,1,0,1,0,,28,21,7,0.75,7.35,57:09,0,0,0,0,0
Chris Pusey,L,1,0,0,0,0,,12,9,3,0.75,4.5,40:00,0,0,0,0,0
Adam Hauser,L,1,0,0,0,,0,24,18,6,0.75,7.08,50:49,0,0,0,0,0
Sebastien Centomo,L,1,0,0,0,0,,12,9,3,0.75,4.5,40:00,0,0,0,0,0
Jeremy Duchesne,L,1,0,0,0,,0,4,3,1,0.75,3.59,16:44,0,0,0,0,0
Tyler Bunz,L,1,0,0,0,,0,12,9,3,0.75,9.0,20:00,0,0,0,0,0
Niklas Treutle,L,2,1,0,1,,0,20,15,5,0.75,6.04,49:42,0,0,0,0,2
Veini Vehvilainen,L,1,0,0,0,,0,4,3,1,0.75,5.63,10:40,0,0,0,0,0
Kent Simpson,L,1,0,0,0,,0,7,5,2,0.714,6.0,20:00,0,0,0,0,0
Greg Redquest,L,1,0,0,0,0,,10,7,3,0.7,14.08,12:47,0,0,0,0,0
Travis Scott,L,1,0,0,0,0,,10,7,3,0.7,7.28,24:43,0,0,0,0,0
Hugo Alnefelt,L,1,0,0,0,,0,10,7,3,0.7,9.0,20:00,0,0,0,0,0
Don Aiken,L,1,0,0,1,0,,18,12,6,0.667,10.67,33:45,0,0,0,0,0
Brent Krahn,L,1,0,0,0,,0,9,6,3,0.667,9.0,20:00,0,0,0,0,0
Martin Houle,L,1,0,0,0,,0,3,2,1,0.667,27.27,2:12,0,0,0,0,0
Roman Will,L,1,0,0,0,,0,3,2,1,0.667,3.25,18:28,0,0,0,0,0
Thomas Hodges,L,1,0,0,1,,0,3,2,1,0.667,3.11,19:16,0,0,0,0,0
Timo Pielmeier,L,1,0,0,0,,0,12,7,5,0.583,7.5,40:00,0,0,0,0,0
Michael McNiven,L,1,0,0,0,,0,7,4,3,0.571,9.0,20:00,0,0,0,0,0
Jerome Mrazek,L,1,0,0,0,0,,2,1,1,0.5,9.55,6:17,0,0,0,0,0
James Stewart Jr,L,1,1,0,1,0,,9,4,5,0.444,15.0,20:00,0,0,0,0,0
Andy Branigan,L,1,0,0,0,0,,,,0,--,0.0,7:13,0,0,0,0,0
King Clancy,L,2,0,0,0,0,,,,1,--,20.0,3:00,0,0,1,1,2
Sprague Cleghorn,L,2,0,0,0,0,,,,0,--,0.0,5:00,0,0,0,0,29
Charlie Conacher,R,4,0,0,0,0,,,,0,--,0.0,10:00,0,0,1,1,4
Tom Cook,L,1,0,0,0,0,0,0,0,0,--,0.0,2:00,0,0,0,0,0
Jack Darragh,R,1,0,0,0,0,,,,0,--,0.0,2:00,0,0,1,1,0
Normie Himes,R,2,1,0,1,0,,,,3,--,2.28,79:00,0,0,0,0,0
Red Horner,R,1,0,0,0,0,,,,1,--,60.0,1:00,0,0,0,0,2
Roger Jenkins,R,1,0,0,1,0,,,,7,--,14.0,30:00,0,0,0,0,0
Albert Leduc,R,1,0,0,1,0,,,,0,--,0.0,2:00,0,0,0,0,2
Alex Levinsky,R,1,0,0,0,0,,,,1,--,60.0,1:00,0,0,1,1,0
Dunc Munro,L,1,0,0,0,0,,,,0,--,0.0,2:00,0,0,0,0,0
Hugh Plaxton,L,1,0,0,1,0,,,,5,--,5.26,57:00,0,0,0,0,0
George Redding,L,1,0,0,0,0,,,,1,--,5.45,11:00,0,0,1,1,0
Charlie Sands,R,1,0,0,0,0,,,,5,--,12.0,25:00,0,0,0,0,0
Al Shields,R,2,0,0,0,0,,,,7,--,11.22,37:25,0,0,0,0,0
Jesse Spring,L,1,0,0,0,0,,,,0,--,0.0,2:00,0,0,0,0,0
Harold Starr,L,1,0,0,0,0,,,,0,--,0.0,3:00,0,0,0,0,0
Jerry Toppazzini,R,1,0,0,0,0,,0,0,0,--,0.0,0:33,0,0,0,0,10
Doug Young,R,1,0,0,0,0,,,,1,--,2.86,21:00,0,0,0,0,0
George Abbott,L,1,1,0,1,0,,,,7,--,7.0,60:00,0,0,0,0,0
Red Almas,R,3,3,0,2,1,,,,13,--,4.33,180:00,0,0,0,0,0
Baz Bastien,L,5,5,0,4,1,,,,20,--,4.0,300:00,0,0,0,0,0
Richard Bittner,L,1,1,0,0,1,,,,3,--,3.0,60:00,0,0,0,0,0
Lionel Bouvrette,L,1,1,0,1,0,,,,6,--,6.0,60:00,0,0,0,0,0
Les Colvin,L,1,1,0,1,0,,,,4,--,4.0,60:00,0,0,0,0,0
Bob Decourcy,R,1,0,0,1,0,,,,6,--,12.29,29:18,0,0,0,0,0
Ray Frederick,L,5,5,0,4,1,,,,22,--,4.4,300:00,0,0,0,0,0
Paul Gauthier,R,1,1,0,0,1,,,,2,--,1.71,70:00,0,0,0,0,0
Joe Ironstone,R,2,1,0,0,1,,,,3,--,1.64,110:00,1,0,0,0,0
Tom McGrattan,L,1,0,0,0,0,,,,1,--,7.83,7:40,0,0,0,0,0
Mickey Murray,R,1,1,0,1,0,,,,4,--,4.0,60:00,0,0,0,0,0
Red Spooner,L,1,1,0,1,0,,,,6,--,6.0,60:00,0,0,0,0,0
Phil Stein,L,1,1,0,0,1,,,,2,--,1.71,70:00,0,0,0,0,0
Joe Turner,L,1,1,0,0,1,,,,3,--,2.57,70:00,0,0,0,0,0
Lefty Wilson,L,3,0,0,0,1,,33,32,1,--,0.74,80:44,0,0,0,0,0
Alex Wood,L,1,1,0,1,0,,,,3,--,2.57,70:00,0,0,0,0,0
Christian Soucy,L,1,0,0,0,0,,0,0,0,--,0.0,3:21,0,0,0,0,0
Jordan Sigalet,L,1,0,0,0,,0,0,0,0,--,0.0,0:43,0,0,0,0,0
Robert McVicar,L,1,0,0,0,,0,0,0,0,--,0.0,2:44,0,0,0,0,0
Shawn Hunwick,L,1,0,0,0,,0,0,0,0,--,0.0,2:33,0,0,0,0,0
Jorge Alves,L,1,0,0,0,,0,0,0,0,--,0.0,0:08,0,0,0,0,0
Jett Alexander,L,1,0,0,0,,0,0,0,0,--,0.0,1:10,0,0,0,0,0
