Player,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Gary Smith,L,20,18,5,13,0,,635,573,62,0.902,3.23,1152:06,1,0,0,0,4
Gilles Villemure,R,13,10,5,5,0,,320,288,32,0.9,2.94,652:19,0,0,0,0,0
Arturs Silovs,L,10,10,5,5,,0,283,254,29,0.898,2.91,598:18,1,0,0,0,0
Denis Herron,L,15,15,5,10,0,,473,423,50,0.894,3.34,897:16,0,0,0,0,5
Laurent Brossoit,L,10,8,5,2,,0,228,203,25,0.89,3.13,478:30,0,0,0,0,0
Al Jensen,L,12,11,5,5,0,,281,249,32,0.886,3.22,596:30,0,0,1,1,4
Gary Edwards,L,11,9,5,4,0,,279,245,34,0.878,3.8,536:22,0,0,0,0,2
Daniel Berthiaume,L,14,14,5,9,0,,407,357,50,0.877,3.73,804:55,0,0,0,0,0
Peter Sidorkiewicz,L,15,15,5,10,0,,412,357,55,0.867,3.62,912:03,0,0,1,1,2
Akira Schmid,L,9,8,4,4,,0,229,211,18,0.921,2.35,459:46,2,0,0,0,0
Alex Nedeljkovic,L,9,9,4,5,,0,275,253,22,0.92,2.17,607:31,1,0,0,0,0
Guy Hebert,L,14,13,4,7,0,,380,347,33,0.913,2.66,743:35,1,0,0,0,0
Darcy Wakaluk,L,8,5,4,2,0,,199,181,18,0.91,2.96,364:41,0,0,0,0,2
Jacques Caron,L,12,11,4,7,0,,332,298,34,0.898,3.19,638:31,0,0,0,0,2
Rick Tabaracci,L,17,14,4,12,0,,515,462,53,0.897,3.1,1024:51,0,0,0,0,4
Jocelyn Thibault,L,18,16,4,11,0,,459,409,50,0.891,3.54,847:56,0,0,1,1,0
Rick St. Croix,L,11,9,4,6,0,,259,230,29,0.888,3.12,557:00,1,0,0,0,2
Manny Legace,L,11,10,4,6,0,,241,214,27,0.888,2.54,638:23,0,0,1,1,0
Bob Essensa,L,16,13,4,9,0,,412,361,51,0.876,3.54,864:04,0,0,0,0,2
Daren Puppa,R,16,14,4,9,0,,396,345,51,0.871,3.9,784:51,0,0,0,0,2
Roland Melanson,L,23,11,4,9,0,,428,369,59,0.862,4.47,792:14,0,0,0,0,6
John Garrett,L,9,7,4,3,0,,232,199,33,0.858,4.3,460:10,0,0,0,0,0
Bert Gardiner,L,9,9,4,5,0,,,0,20,--,1.85,647:46,0,0,0,0,0
Thatcher Demko,L,5,4,3,1,,0,154,150,4,0.974,0.97,246:19,1,0,0,0,0
Scott Darling,L,5,4,3,1,,,171,160,11,0.936,2.22,297:46,0,0,0,0,0
Joseph Woll,L,7,4,3,2,,0,150,140,10,0.933,1.78,337:44,0,0,0,0,2
Manny Fernandez,L,11,7,3,4,0,,261,242,19,0.927,2.0,570:53,0,0,0,0,0
Kevin Weekes,L,9,7,3,3,0,,205,190,15,0.927,1.93,467:28,2,0,0,0,2
Andrew Raycroft,L,8,7,3,4,0,,217,200,17,0.922,2.16,471:43,1,0,0,0,2
Curtis McElhinney,L,7,4,3,3,,,161,147,14,0.913,2.4,349:33,0,0,0,0,0
Niklas Backstrom,L,11,11,3,8,,,315,287,28,0.911,2.55,658:01,0,0,1,1,2
Jussi Markkanen,L,7,6,3,3,0,,149,135,14,0.906,2.24,374:20,1,0,0,0,0
Tom Draper,L,7,7,3,4,0,,201,182,19,0.905,2.63,433:22,1,0,0,0,0
Louis Domingue,R,7,5,3,3,,0,194,175,19,0.902,3.45,330:26,0,0,1,1,0
Robb Stauber,L,4,4,3,1,0,,157,141,16,0.898,4.0,240:00,0,0,0,0,0
Linus Ullmark,L,10,9,3,6,,0,293,260,33,0.887,3.59,552:07,0,0,1,1,10
Steve Weeks,L,12,5,3,5,0,,238,211,27,0.887,3.34,484:29,0,0,0,0,7
Jeff Hackett,L,12,10,3,7,0,,309,273,36,0.883,3.54,610:59,0,0,0,0,0
Bob Froese,L,18,12,3,9,0,,418,363,55,0.868,4.0,825:44,0,0,2,2,9
Jeff Reese,L,11,8,3,5,0,,241,206,35,0.855,4.08,515:04,0,0,0,0,0
Robbie Moore,L,5,5,3,2,0,,123,105,18,0.854,4.06,266:12,0,0,1,1,2
Trevor Kidd,L,10,9,3,5,0,,232,196,36,0.845,3.93,550:12,1,0,0,0,0
