Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Rutger McGroarty,20242025,PIT,L,R,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,,0.0
Liam Ohgren,20242025,MIN,L,L,8,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,10,0.0,,
Ben Meyers,20242025,SEA,L,C,4,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,2,0.0,,45.8
Adam Klapka,20242025,CGY,R,R,6,0,0,0,1,8,0.0,0,0,0,0,0,0,0,0,7,0.0,,50.0
Nikita Grebenkin,20242025,TOR,L,R,7,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,2,0.0,,100.0
Samuel Honzek,20242025,CGY,L,L,5,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,6,0.0,,0.0
Nikolas Matinpalo,20242025,OTT,R,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,,,
Jett Luchanko,20242025,PHI,R,C,4,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,3,0.0,,46.0
Justin Hryckowian,20242025,DAL,L,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,,
Jere Innala,20242025,COL,L,L,3,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,,
Nikita Prishchepov,20242025,COL,L,C,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,,
