Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Hampus Lindholm,20242025,BOS,L,D,17,3,4,7,-4,4,0.41,3,6,0,1,0,0,0,1,35,8.6,,
Pierre Engvall,20242025,NYI,L,L,22,3,4,7,-2,10,0.32,3,7,0,0,0,0,0,1,28,10.7,,44.4
Jordan Greenway,20242025,BUF,L,L,20,3,4,7,-1,13,0.35,3,7,0,0,0,0,0,0,24,12.5,,9.1
Mathew Barzal,20242025,NYI,R,C,16,3,4,7,-3,2,0.44,2,4,1,3,0,0,0,0,43,7.0,,50.0
Beck Malenstyn,20242025,BUF,L,L,37,3,4,7,-3,15,0.19,3,7,0,0,0,0,0,0,33,9.1,,66.7
Timothy Liljegren,20242025,"TOR,SJS",R,D,27,3,4,7,-6,18,0.26,3,6,0,1,0,0,0,0,46,6.5,,
Erik Brannstrom,20242025,VAN,L,D,27,3,4,7,-3,12,0.26,3,7,0,0,0,0,0,1,32,9.4,,
Jamie Oleksiak,20242025,SEA,L,D,37,2,5,7,-3,10,0.19,2,7,0,0,0,0,0,1,32,6.3,,
Radek Faksa,20242025,STL,L,C,30,2,5,7,-7,14,0.23,2,7,0,0,0,0,0,0,30,6.7,,53.7
Egor Zamula,20242025,PHI,L,D,27,2,5,7,-13,0,0.26,2,7,0,0,0,0,0,1,17,11.8,,
Mavrik Bourque,20242025,DAL,R,C,30,2,5,7,0,2,0.23,2,7,0,0,0,0,0,0,27,7.4,,41.3
Marco Kasper,20242025,DET,L,C,31,2,5,7,-8,12,0.23,0,4,2,3,0,0,0,0,46,4.4,,48.8
Ryan Suter,20242025,STL,L,D,38,1,6,7,-3,14,0.18,1,7,0,0,0,0,0,0,29,3.5,,
Conor Timmins,20242025,TOR,R,D,33,1,6,7,7,18,0.21,1,7,0,0,0,0,0,0,33,3.0,,
Jake Christiansen,20242025,CBJ,L,D,37,1,6,7,1,11,0.19,1,7,0,0,0,0,0,0,40,2.5,,
Radko Gudas,20242025,ANA,R,D,35,0,7,7,-2,42,0.2,0,7,0,0,0,0,0,0,31,0.0,,
Jacob Trouba,20242025,"NYR,ANA",R,D,34,0,7,7,-4,26,0.21,0,7,0,0,0,0,0,0,58,0.0,,
Connor Clifton,20242025,BUF,R,D,35,0,7,7,3,23,0.2,0,7,0,0,0,0,0,0,29,0.0,,
Martin Fehervary,20242025,WSH,L,D,36,0,7,7,4,13,0.19,0,6,0,0,0,1,0,0,33,0.0,,
Cole Schwindt,20242025,VGK,R,R,29,0,7,7,4,0,0.24,0,7,0,0,0,0,0,0,24,0.0,,49.7
Kasperi Kapanen,20242025,"STL,EDM",R,R,26,5,1,6,-11,4,0.23,5,6,0,0,0,0,0,2,31,16.1,,0.0
Noah Gregor,20242025,OTT,L,L,31,4,2,6,-7,17,0.19,3,5,0,0,1,1,0,2,42,9.5,,50.0
Isac Lundestrom,20242025,ANA,L,C,33,4,2,6,-1,2,0.18,4,6,0,0,0,0,0,1,31,12.9,,45.7
Anthony Duclair,20242025,NYI,L,L,9,3,3,6,-2,0,0.67,2,5,1,1,0,0,0,0,14,21.4,,
Steven Lorentz,20242025,TOR,L,C,37,3,3,6,0,0,0.16,3,6,0,0,0,0,0,1,30,10.0,,40.0
Dylan Samberg,20242025,WPG,L,D,21,3,3,6,12,18,0.29,3,6,0,0,0,0,0,1,27,11.1,,
Tye Kartye,20242025,SEA,L,L,34,3,3,6,-7,18,0.18,3,6,0,0,0,0,0,0,31,9.7,,25.0
Zach Bogosian,20242025,MIN,R,D,37,2,4,6,-1,21,0.16,2,6,0,0,0,0,0,0,42,4.8,,
Brayden McNabb,20242025,VGK,L,D,36,2,4,6,22,20,0.17,1,4,0,0,1,2,0,0,47,4.3,,
Anthony Richard,20242025,PHI,L,C,7,2,4,6,4,0,0.86,2,5,0,1,0,0,0,0,10,20.0,,
Mario Ferraro,20242025,SJS,L,D,39,2,4,6,-17,23,0.15,2,6,0,0,0,0,0,0,38,5.3,,
K'Andre Miller,20242025,NYR,L,D,29,2,4,6,-6,8,0.21,2,6,0,0,0,0,0,0,46,4.4,,
Pontus Holmberg,20242025,TOR,L,R,32,2,4,6,-3,19,0.19,1,5,0,0,1,1,0,0,23,8.7,,48.6
Scott Perunovich,20242025,STL,L,D,22,2,4,6,0,6,0.27,2,6,0,0,0,0,0,0,9,22.2,,
Nils Hoglander,20242025,VAN,L,L,33,2,4,6,-3,20,0.18,2,6,0,0,0,0,0,1,31,6.5,,
Jeff Petry,20242025,DET,R,D,32,1,5,6,-7,10,0.19,1,5,0,1,0,0,0,1,22,4.6,,
Ben Chiarot,20242025,DET,L,D,35,1,5,6,-3,39,0.17,1,5,0,1,0,0,0,0,40,2.5,,
Sam Carrick,20242025,NYR,R,C,35,1,5,6,-3,32,0.17,1,5,0,0,0,1,0,1,30,3.3,,58.5
Josh Manson,20242025,COL,R,D,25,1,5,6,-9,16,0.24,1,5,0,1,0,0,0,0,30,3.3,,
Scott Mayfield,20242025,NYI,R,D,36,1,5,6,14,21,0.17,1,6,0,0,0,0,0,0,27,3.7,,
Adam Larsson,20242025,SEA,R,D,37,1,5,6,0,17,0.16,1,6,0,0,0,0,0,0,49,2.0,,
Carson Soucy,20242025,VAN,L,D,35,1,5,6,-8,24,0.17,1,6,0,0,0,0,0,1,41,2.4,,
Brett Pesce,20242025,NJD,R,D,30,1,5,6,2,6,0.2,0,5,0,0,1,1,0,0,45,2.2,,
Alexey Toropchenko,20242025,STL,L,R,36,1,5,6,-4,15,0.17,1,6,0,0,0,0,0,0,35,2.9,,50.0
Daniil Miromanov,20242025,CGY,R,D,29,1,5,6,1,6,0.21,1,6,0,0,0,0,0,1,35,2.9,,
Nolan Allan,20242025,CHI,L,D,30,1,5,6,-3,12,0.2,1,6,0,0,0,0,0,0,11,9.1,,
Calvin de Haan,20242025,COL,L,D,30,0,6,6,-6,8,0.2,0,6,0,0,0,0,0,0,35,0.0,,
Brian Dumoulin,20242025,ANA,L,D,35,0,6,6,0,4,0.17,0,6,0,0,0,0,0,0,36,0.0,,
Dylan DeMelo,20242025,WPG,R,D,37,0,6,6,16,20,0.16,0,6,0,0,0,0,0,0,33,0.0,,
Erik Gustafsson,20242025,DET,L,D,28,0,6,6,-12,14,0.21,0,2,0,4,0,0,0,0,36,0.0,,
Haydn Fleury,20242025,WPG,L,D,25,0,6,6,-7,4,0.24,0,6,0,0,0,0,0,0,27,0.0,,
Andrew Peeke,20242025,BOS,R,D,32,0,6,6,-3,2,0.19,0,5,0,0,0,1,0,0,30,0.0,,
Alexander Romanov,20242025,NYI,L,D,26,0,6,6,1,18,0.23,0,6,0,0,0,0,0,0,33,0.0,,
Cam Atkinson,20242025,TBL,R,R,21,3,2,5,-4,4,0.24,2,4,1,1,0,0,0,0,26,11.5,,50.0
Oskar Sundqvist,20242025,STL,R,C,27,3,2,5,-4,18,0.19,2,4,1,1,0,0,0,0,17,17.7,,42.5
Michael Eyssimont,20242025,TBL,L,C,32,3,2,5,-1,28,0.16,3,5,0,0,0,0,0,0,59,5.1,,20.0
Philipp Kurashev,20242025,CHI,L,C,30,3,2,5,-27,12,0.17,2,4,1,1,0,0,1,1,35,8.6,,48.3
Mikael Pyyhtia,20242025,CBJ,L,L,27,3,2,5,-11,2,0.19,3,5,0,0,0,0,0,0,22,13.6,,50.0
Michael McCarron,20242025,NSH,R,C,28,2,3,5,-14,36,0.18,2,5,0,0,0,0,0,0,23,8.7,,53.1
Daniel Sprong,20242025,"VAN,SEA",R,R,19,2,3,5,-1,2,0.26,1,4,1,1,0,0,0,1,31,6.5,,0.0
Yakov Trenin,20242025,MIN,L,C,32,2,3,5,8,14,0.16,1,4,0,0,1,1,0,0,24,8.3,,31.8
Nathan Bastian,20242025,NJD,R,R,21,2,3,5,1,21,0.24,1,4,0,0,1,1,0,1,20,10.0,,42.9
Troy Stecher,20242025,EDM,R,D,32,2,3,5,-2,21,0.16,2,5,0,0,0,0,0,0,30,6.7,,
Alexandre Texier,20242025,STL,L,C,19,2,3,5,-6,6,0.26,2,4,0,1,0,0,0,0,31,6.5,,0.0
Mattias Samuelsson,20242025,BUF,L,D,22,2,3,5,-5,4,0.23,2,5,0,0,0,0,0,0,25,8.0,,
Kyle MacLean,20242025,NYI,L,C,37,2,3,5,-7,10,0.14,2,5,0,0,0,0,0,0,28,7.1,,50.2
Drew Helleson,20242025,ANA,R,D,13,2,3,5,0,8,0.38,2,5,0,0,0,0,0,0,14,14.3,,
Jayden Struble,20242025,MTL,L,D,22,2,3,5,-6,29,0.23,2,5,0,0,0,0,0,0,26,7.7,,
Vladislav Kolyachonok,20242025,UTA,L,D,19,2,3,5,-5,2,0.26,2,5,0,0,0,0,0,1,11,18.2,,
Juuso Parssinen,20242025,NSH,L,C,15,2,3,5,-8,0,0.33,2,4,0,1,0,0,0,0,11,18.2,,46.8
Cole Smith,20242025,NSH,L,R,34,2,3,5,-9,20,0.15,2,4,0,0,0,1,0,0,29,6.9,,44.4
Jack Thompson,20242025,SJS,R,D,14,2,3,5,-8,6,0.36,2,2,0,3,0,0,0,0,17,11.8,,
Tomas Nosek,20242025,FLA,L,L,25,1,4,5,5,6,0.2,0,3,1,1,0,1,0,0,21,4.8,,50.7
Brandon Carlo,20242025,BOS,R,D,38,1,4,5,0,14,0.13,1,5,0,0,0,0,0,0,37,2.7,,
Ryan Lindgren,20242025,NYR,L,D,30,1,4,5,-3,20,0.17,1,4,0,0,0,1,0,0,24,4.2,,
