Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Moe Morris,L,D,18,4,2,6,0,16,0.33,3,3,1,3,0,0,0,0,,,,
Alf Pike,L,L,21,4,2,6,0,12,0.29,3,5,1,1,0,0,1,1,,,,
Ralph Klassen,L,C,26,4,2,6,4,12,0.23,4,6,0,0,0,0,0,0,25,16.0,,
Bobby Lalonde,L,C,16,4,2,6,-4,6,0.38,1,2,1,1,2,3,0,0,23,17.4,,
Terry Martin,L,L,21,4,2,6,-10,26,0.29,4,6,0,0,0,0,0,0,38,10.5,,
Jimmy Ward,R,R,36,4,2,6,0,26,0.17,0,1,0,0,1,1,0,1,,,,
Doug Smith,R,C,18,4,2,6,-8,21,0.33,3,5,1,1,0,0,0,0,40,10.0,,
Blaine Stoughton,L,L,8,4,2,6,-2,2,0.75,3,4,1,2,0,0,1,1,11,36.4,,
Rob Pearson,R,R,33,4,2,6,-13,94,0.18,4,6,0,0,0,0,0,1,52,7.7,,
Shane Hnidy,R,D,40,4,2,6,-4,34,0.15,4,6,0,0,0,0,0,0,30,13.3,,
Stanislav Chistov,R,R,21,4,2,6,4,8,0.29,4,5,0,1,0,0,0,1,33,12.1,,0.0
David Moss,R,R,17,4,2,6,-1,4,0.35,4,5,0,1,0,0,0,1,28,14.3,,100.0
Tom Pyatt,L,L,40,4,2,6,-4,2,0.15,4,6,0,0,0,0,0,1,43,9.3,,43.5
Yannick Weber,R,D,42,4,2,6,-4,19,0.14,3,5,1,1,0,0,0,0,39,10.3,,
Dillon Dube,L,C,22,4,2,6,-1,4,0.27,3,4,1,2,0,0,0,1,53,7.6,,41.2
Drake Caggiula,L,L,21,4,2,6,0,27,0.29,4,6,0,0,0,0,0,0,30,13.3,,33.3
Stew Adams,L,L,11,3,3,6,0,14,0.55,,,,,,,1,1,,,,
Pete Babando,L,L,17,3,3,6,0,6,0.35,1,3,2,3,0,0,1,1,,,,
Scott Arniel,L,L,34,3,3,6,-22,39,0.18,2,5,0,0,1,1,0,1,35,8.6,,
Russ Blinco,L,C,19,3,3,6,0,4,0.32,3,6,0,0,0,0,0,2,,,,
Jerry Butler,L,R,48,3,3,6,-10,79,0.13,3,6,0,0,0,0,0,0,52,5.8,,
Gerry Heffernan,R,R,11,3,3,6,0,8,0.55,3,6,0,0,0,0,0,0,,,,
Harry Howell,L,D,38,3,3,6,-14,32,0.16,2,5,1,1,0,0,0,1,51,,,
Mike Laughton,L,C,11,3,3,6,0,0,0.55,2,4,1,2,0,0,0,0,19,15.8,,
Gilles Marotte,L,D,29,3,3,6,-9,26,0.21,3,6,0,0,0,0,0,1,46,6.5,,
Dennis Hextall,L,C,22,3,3,6,-7,45,0.27,2,4,0,1,1,1,0,3,37,8.1,,
Pat McReavy,R,C,22,3,3,6,0,9,0.27,3,6,0,0,0,0,0,2,,,,
Jeff Lazaro,L,L,28,3,3,6,-2,32,0.21,3,6,0,0,0,0,0,0,37,8.1,,
Daniel Marois,R,R,19,3,3,6,-1,28,0.32,1,3,2,3,0,0,0,0,33,9.1,,
Brad Smith,R,R,20,3,3,6,-2,51,0.3,2,5,1,1,0,0,0,1,19,15.8,,
Peter Sundstrom,L,L,23,3,3,6,-7,8,0.26,1,3,1,2,1,1,0,1,22,13.6,,
Gilles Thibaudeau,L,C,8,3,3,6,0,2,0.75,2,5,1,1,0,0,0,0,6,50.0,,
Darby Hendrickson,L,C,25,3,3,6,-1,6,0.24,3,4,0,1,0,1,0,1,28,10.7,,51.1
Kent Manderville,L,C,67,3,3,6,-6,44,0.09,2,4,0,0,1,2,0,0,78,3.9,,47.7
Jan Bulis,L,C,35,3,3,6,-11,14,0.17,3,6,0,0,0,0,0,0,48,6.3,,73.3
Ben Eager,L,L,47,3,3,6,-5,148,0.13,3,6,0,0,0,0,0,2,42,7.1,,
Lee Stempniak,R,R,28,3,3,6,-9,6,0.21,3,5,0,1,0,0,0,0,52,5.8,,18.8
Matt Moulson,L,L,16,3,3,6,-4,14,0.38,2,5,1,1,0,0,0,0,36,8.3,,100.0
Chris Porter,L,L,21,3,3,6,3,0,0.29,3,6,0,0,0,0,0,0,28,10.7,,39.3
Brandon Yip,R,R,16,3,3,6,-4,12,0.38,3,5,0,1,0,0,0,0,24,12.5,,0.0
Michael Stone,R,D,15,3,3,6,3,4,0.4,3,6,0,0,0,0,0,0,29,10.3,,
Micheal Ferland,L,L,22,3,3,6,-4,55,0.27,3,6,0,0,0,0,0,0,37,8.1,,66.7
Scott Wilson,L,C,23,3,3,6,4,11,0.26,3,6,0,0,0,0,0,0,31,9.7,,40.0
Garnet Hathaway,R,R,31,3,3,6,-8,56,0.19,3,6,0,0,0,0,0,0,39,7.7,,50.0
Jesse Puljujarvi,R,R,27,3,3,6,-3,2,0.22,3,6,0,0,0,0,0,0,49,6.1,,
Claire Alexander,R,D,16,2,4,6,-13,4,0.38,1,2,1,4,0,0,0,0,39,5.1,,
Garnet Bailey,L,L,15,2,4,6,2,28,0.4,2,6,0,0,0,0,0,1,18,11.1,,
Chuck Arnason,R,R,9,2,4,6,0,4,0.67,1,4,1,2,0,0,0,0,28,7.1,,
Adam Brown,L,L,26,2,4,6,0,14,0.23,2,6,0,0,0,0,1,1,,,,
Marty Burke,L,D,31,2,4,6,0,44,0.19,0,0,0,0,0,0,0,0,,,,
Wayne Carleton,L,L,18,2,4,6,-1,14,0.33,2,5,0,1,0,0,0,0,24,8.3,,
Tom Cook,L,C,24,2,4,6,0,19,0.25,1,1,0,0,0,0,0,2,,,,
Brad Dalgarno,R,R,27,2,4,6,-3,37,0.22,2,6,0,0,0,0,0,0,34,5.9,,
Gary Doak,R,D,78,2,4,6,8,121,0.08,2,6,0,0,0,0,0,1,43,4.7,,
Frantisek Musil,L,D,42,2,4,6,-4,47,0.14,2,5,0,0,0,1,0,0,39,5.1,,
Joe Jerwa,L,D,17,2,4,6,0,20,0.35,2,6,0,0,0,0,0,1,,,,
Forbes Kennedy,L,C,12,2,4,6,-1,64,0.5,1,3,0,2,1,1,0,0,13,,,
Wally Kilrea,R,R,25,2,4,6,0,6,0.24,2,6,0,0,0,0,0,0,,,,
Orland Kurtenbach,L,C,19,2,4,6,-9,70,0.32,2,5,0,1,0,0,0,0,34,5.9,,
Real Lemieux,L,L,18,2,4,6,-7,10,0.33,1,3,1,3,0,0,0,0,26,7.7,,
Didier Pitre,R,R,9,2,4,6,0,19,0.67,,,,,,,0,1,,,,
Ed Kea,L,D,32,2,4,6,0,39,0.19,2,6,0,0,0,0,0,0,46,4.4,,
Lane Lambert,R,R,17,2,4,6,0,40,0.35,2,6,0,0,0,0,0,0,23,8.7,,
Bob Manno,L,D,17,2,4,6,-1,12,0.35,2,5,0,0,0,1,0,0,17,11.8,,
Bill Sutherland,L,C,14,2,4,6,-6,0,0.43,0,3,2,2,0,1,0,0,29,6.9,,
Grant Warwick,R,R,16,2,4,6,0,6,0.38,1,4,1,2,0,0,0,0,,,,
Howie Young,R,D,19,2,4,6,-3,48,0.32,2,5,0,1,0,0,0,0,15,13.3,,
Dave Silk,R,R,13,2,4,6,-2,13,0.46,2,5,0,1,0,0,0,1,13,15.4,,
Cory Cross,L,D,47,2,4,6,-8,62,0.13,2,5,0,0,0,1,1,1,38,5.3,,
Riku Hahl,L,C,34,2,4,6,-1,4,0.18,2,6,0,0,0,0,0,0,40,5.0,,31.6
Tanner Glass,L,L,67,2,4,6,-8,68,0.09,2,6,0,0,0,0,0,1,39,5.1,,40.5
Beau Bennett,R,R,21,2,4,6,-1,8,0.29,0,4,2,2,0,0,0,1,29,6.9,,0.0
Teddy Blueger,L,C,37,2,4,6,-5,10,0.16,2,6,0,0,0,0,0,0,32,6.3,,51.1
Andreas Johnsson,L,L,14,2,4,6,-2,2,0.43,1,3,1,3,0,0,0,1,24,8.3,,33.3
Steven Lorentz,L,C,32,2,4,6,-4,21,0.19,2,6,0,0,0,0,0,1,25,8.0,,43.7
Alex DeBrincat,R,R,9,2,4,6,4,9,0.67,2,5,0,1,0,0,0,0,27,7.4,,0.0
Michael McLeod,R,C,12,2,4,6,2,15,0.5,0,3,0,1,2,2,0,1,19,10.5,,56.9
Michal Kempny,L,D,30,2,4,6,-1,14,0.2,2,6,0,0,0,0,0,0,47,4.3,,
Art Chapman,L,C,26,1,5,6,0,9,0.23,1,4,0,1,0,0,0,1,,,,
Rosie Couture,R,R,23,1,5,6,0,17,0.26,1,3,0,0,0,0,0,0,,,,
Dave Burrows,L,D,29,1,5,6,-6,25,0.21,1,4,0,2,0,0,0,1,32,3.1,,
Al Dewsbury,L,D,15,1,5,6,0,16,0.4,1,4,0,2,0,0,1,1,,,,
Al Langlois,L,D,53,1,5,6,6,50,0.11,1,6,0,0,0,0,0,0,36,,,
Dean Hopkins,R,R,18,1,5,6,-4,29,0.33,1,6,0,0,0,0,0,1,13,7.7,,
Matt Ravlich,L,D,24,1,5,6,-2,16,0.25,0,5,1,1,0,0,0,0,20,5.0,,
Jimmy Jones,R,C,19,1,5,6,-1,11,0.32,1,6,0,0,0,0,0,0,19,5.3,,
Jason Lafreniere,R,C,15,1,5,6,-4,19,0.4,0,5,1,1,0,0,0,0,15,6.7,,
Glen Sather,L,L,72,1,5,6,3,86,0.08,1,5,0,0,0,1,0,0,44,2.3,,
Art Somers,L,C,30,1,5,6,0,20,0.2,0,0,0,0,0,0,0,0,,,,
Peter Marsh,L,R,26,1,5,6,0,33,0.23,1,4,0,1,0,1,0,0,46,2.2,,
Brian Spencer,L,L,36,1,5,6,-1,29,0.17,1,6,0,0,0,0,0,0,20,5.0,,
Vic Venasky,R,C,21,1,5,6,-4,12,0.29,0,4,1,2,0,0,0,0,13,7.7,,
Tim Watters,L,D,82,1,5,6,-21,115,0.07,1,5,0,0,0,1,0,0,38,2.6,,
Eric Lacroix,L,L,30,1,5,6,-1,25,0.2,1,6,0,0,0,0,0,0,22,4.6,,0.0
Jaroslav Modry,L,D,28,1,5,6,-6,6,0.21,0,2,1,4,0,0,1,1,30,3.3,,0.0
Steve Staios,R,D,33,1,5,6,-1,32,0.18,0,4,1,2,0,0,0,0,40,2.5,,
Denis Pederson,R,C,27,1,5,6,-1,8,0.22,0,5,0,0,1,1,0,0,27,3.7,,47.8
Mats Lindgren,L,C,24,1,5,6,-2,10,0.25,1,6,0,0,0,0,0,0,38,2.6,,58.0
Rory Fitzpatrick,R,D,20,1,5,6,-3,22,0.3,1,3,0,3,0,0,0,0,8,12.5,,
Brad Lukowich,L,D,71,1,5,6,10,22,0.08,1,5,0,1,0,0,0,0,47,2.1,,100.0
Nick Boynton,R,D,21,1,5,6,3,16,0.29,1,5,0,1,0,0,0,0,52,1.9,,
Antti Laaksonen,L,L,25,1,5,6,-6,6,0.24,1,5,0,0,0,1,0,0,41,2.4,,18.2
Tim Gleason,L,D,32,1,5,6,-5,37,0.19,1,6,0,0,0,0,1,1,18,5.6,,
Thomas Hickey,L,D,24,1,5,6,-5,12,0.25,1,3,0,3,0,0,1,1,37,2.7,,
Alan Quine,L,C,13,1,5,6,0,2,0.46,0,4,1,2,0,0,1,1,12,8.3,,46.7
Mike Reilly,L,D,21,1,5,6,1,10,0.29,0,4,1,2,0,0,0,0,40,2.5,,
JT Brown,R,R,41,1,5,6,-10,2,0.15,1,6,0,0,0,0,0,0,54,1.9,,33.3
Jared McCann,L,L,20,1,5,6,0,10,0.3,1,4,0,2,0,0,0,0,45,2.2,,50.0
Vladislav Gavrikov,L,D,23,1,5,6,-1,8,0.26,1,6,0,0,0,0,0,0,28,3.6,,
Matt Roy,R,D,18,1,5,6,2,2,0.33,1,6,0,0,0,0,0,0,27,3.7,,
Jalen Chatfield,R,D,26,1,5,6,0,26,0.23,1,6,0,0,0,0,0,0,31,3.2,,
Jesper Bratt,L,L,13,1,5,6,-3,4,0.46,1,4,0,2,0,0,0,0,29,3.5,,
Kirby Dach,R,C,9,1,5,6,3,4,0.67,1,4,0,2,0,0,0,0,16,6.3,,30.9
Braden Schneider,R,D,43,1,5,6,-3,31,0.14,1,6,0,0,0,0,0,0,32,3.1,,
Arnie Brown,L,D,22,0,6,6,-14,23,0.27,0,4,0,2,0,0,0,0,39,0.0,,
Jim Kyte,L,D,42,0,6,6,-1,94,0.14,0,6,0,0,0,0,0,0,30,0.0,,
Ken Leiter,L,D,15,0,6,6,-1,8,0.4,0,3,0,3,0,0,0,0,26,0.0,,
Blair MacDonald,R,R,11,0,6,6,-1,2,0.55,0,5,0,1,0,0,0,0,16,0.0,,
John McIntyre,L,C,44,0,6,6,-3,54,0.14,0,6,0,0,0,0,0,0,17,0.0,,
Jayson More,R,D,31,0,6,6,-3,45,0.19,0,4,0,2,0,0,0,0,22,0.0,,
Gary Nylund,L,D,24,0,6,6,-6,63,0.25,0,6,0,0,0,0,0,0,32,0.0,,
Jim Pavese,L,D,36,0,6,6,-3,81,0.17,0,5,0,1,0,0,0,0,32,0.0,,
Larry Playfair,L,D,43,0,6,6,4,111,0.14,0,4,0,2,0,0,0,0,26,0.0,,
Anders Eriksson,L,D,36,0,6,6,5,18,0.17,0,4,0,2,0,0,0,0,31,0.0,,
Hal Gill,L,D,111,0,6,6,2,68,0.05,0,6,0,0,0,0,0,0,93,0.0,,
Anthony Mantha,L,R,14,0,6,6,-4,21,0.43,0,2,0,4,0,0,0,0,36,0.0,,45.5
Ryan Carpenter,R,C,26,0,6,6,1,6,0.23,0,6,0,0,0,0,0,0,36,0.0,,47.8
John Marino,R,D,29,0,6,6,-1,10,0.21,0,4,0,1,0,1,0,0,32,0.0,,
Cam Connor,L,R,20,5,0,5,-2,18,0.25,4,4,1,1,0,0,1,2,17,29.4,,
Alex Faulkner,L,C,15,5,0,5,1,2,0.33,4,4,1,1,0,0,0,3,16,31.3,,
Bill Derlago,L,C,13,5,0,5,-8,8,0.38,2,2,3,3,0,0,0,0,41,12.2,,
Miles Wood,L,L,24,5,0,5,0,41,0.21,5,5,0,0,0,0,1,1,41,12.2,,25.0
Leo Gravelle,R,R,17,4,1,5,0,2,0.29,4,5,0,0,0,0,0,1,,,,
Paul Fenton,L,L,17,4,1,5,-8,27,0.29,1,1,3,4,0,0,0,0,25,16.0,,
Ed Hospodar,R,D,44,4,1,5,4,206,0.11,4,5,0,0,0,0,0,1,32,12.5,,
Brent Hughes,L,L,29,4,1,5,-8,53,0.17,4,5,0,0,0,0,0,1,29,13.8,,
Vic Ripley,L,L,20,4,1,5,0,8,0.25,1,1,0,0,0,0,0,0,,,,
Gino Odjick,L,L,44,4,1,5,-7,142,0.11,4,5,0,0,0,0,0,2,33,12.1,,0.0
Brendan Witt,L,D,41,4,1,5,-16,44,0.12,3,4,1,1,0,0,0,0,42,9.5,,0.0
Trent Hunter,R,R,14,4,1,5,0,6,0.36,4,5,0,0,0,0,0,0,27,14.8,,0.0
Andrew MacDonald,L,D,23,4,1,5,-2,20,0.22,4,4,0,1,0,0,0,1,24,16.7,,
Nic Dowd,R,C,30,4,1,5,-7,24,0.17,4,5,0,0,0,0,1,1,29,13.8,,52.2
Luke Kunin,R,C,14,4,1,5,-1,8,0.36,2,3,1,1,1,1,1,1,21,19.1,,41.7
Bill Carse,L,C,13,3,2,5,0,0,0.38,1,3,2,2,0,0,0,1,,,,
Brian Conacher,L,L,12,3,2,5,0,21,0.42,3,5,0,0,0,0,0,2,20,15.0,,
Les Douglas,L,C,10,3,2,5,0,2,0.5,3,5,0,0,0,0,0,0,,,,
Ray Cote,R,C,14,3,2,5,6,4,0.36,3,5,0,0,0,0,0,0,17,17.7,,
Gary Croteau,L,R,11,3,2,5,-7,8,0.45,2,3,1,2,0,0,0,0,26,11.5,,
Brent Fedyk,R,L,16,3,2,5,-1,12,0.31,3,4,0,1,0,0,0,1,12,25.0,,
Lou Franceschetti,L,L,44,3,2,5,-13,111,0.11,3,5,0,0,0,0,0,1,37,8.1,,
Randy Gilhen,L,C,33,3,2,5,-4,26,0.15,2,4,0,0,1,1,0,1,32,9.4,,
John Gould,L,R,14,3,2,5,-8,4,0.36,1,3,1,1,1,1,0,0,23,13.0,,
Len Lunde,R,C,20,3,2,5,-8,2,0.25,0,1,3,4,0,0,0,0,29,,,
Jamie Hislop,R,R,28,3,2,5,-8,11,0.18,2,4,1,1,0,0,0,1,33,9.1,,
George Parsons,L,L,7,3,2,5,0,11,0.71,3,5,0,0,0,0,1,1,,,,
Jim Jackson,R,L,14,3,2,5,-4,6,0.36,2,3,0,0,1,2,0,1,21,14.3,,
Robert Kron,L,C,16,3,2,5,2,2,0.31,2,4,0,0,1,1,0,1,19,15.8,,32.4
Robert Nordmark,R,D,7,3,2,5,-1,8,0.71,1,2,2,3,0,0,0,0,10,30.0,,
Rob Ray,L,R,55,3,2,5,-4,169,0.09,3,5,0,0,0,0,0,2,17,17.7,,
Steve Rooney,L,C,25,3,2,5,1,86,0.2,3,5,0,0,0,0,0,0,19,15.8,,
Kevin Todd,L,C,12,3,2,5,-2,16,0.42,2,3,1,2,0,0,0,0,19,15.8,,
Craig Johnson,L,L,16,3,2,5,3,10,0.31,3,5,0,0,0,0,1,1,24,12.5,,100.0
Marty McInnis,R,L,22,3,2,5,-6,4,0.23,1,3,2,2,0,0,0,0,32,9.4,,38.2
Tyler Wright,R,C,30,3,2,5,-2,40,0.17,3,4,0,0,0,1,0,0,19,15.8,,41.3
Tyson Nash,L,L,23,3,2,5,-1,52,0.22,3,5,0,0,0,0,0,0,19,15.8,,16.7
Chad Kilger,L,L,36,3,2,5,-1,13,0.14,3,5,0,0,0,0,0,1,37,8.1,,52.6
Tom Kostopoulos,R,R,16,3,2,5,-2,10,0.31,3,5,0,0,0,0,1,1,29,10.3,,0.0
Stephen Weiss,L,C,9,3,2,5,-1,6,0.56,0,1,3,4,0,0,0,0,13,23.1,,51.6
Adam Burish,R,R,38,3,2,5,2,36,0.13,3,5,0,0,0,0,0,1,47,6.4,,47.1
Colin Greening,L,C,17,3,2,5,0,2,0.29,3,5,0,0,0,0,1,1,33,9.1,,66.7
David Schlemko,L,D,26,3,2,5,0,8,0.19,1,3,2,2,0,0,0,0,34,8.8,,
Oscar Lindberg,L,L,17,3,2,5,3,6,0.29,3,5,0,0,0,0,0,1,27,11.1,,52.6
Derek Forbort,L,D,35,3,2,5,-4,33,0.14,3,5,0,0,0,0,0,0,37,8.1,,
Tobias Rieder,L,L,14,3,2,5,-3,0,0.36,0,2,0,0,3,3,0,1,19,15.8,,0.0
Dylan Strome,L,C,13,3,2,5,-4,2,0.38,2,4,1,1,0,0,0,0,20,15.0,,50.3
Carl Grundstrom,L,R,17,3,2,5,-4,4,0.29,3,5,0,0,0,0,0,0,24,12.5,,25.0
Trent Frederic,L,C,22,3,2,5,1,46,0.23,3,5,0,0,0,0,0,0,31,9.7,,37.7
Klim Kostin,L,C,12,3,2,5,2,9,0.42,3,5,0,0,0,0,0,1,10,30.0,,50.0
Joel Farabee,L,L,12,3,2,5,-2,4,0.42,2,4,1,1,0,0,0,1,19,15.8,,25.0
Tye Kartye,L,L,10,3,2,5,6,2,0.5,3,5,0,0,0,0,0,1,13,23.1,,
Ray Allison,R,R,12,2,3,5,-8,20,0.42,0,2,2,3,0,0,0,0,8,25.0,,
Connie Brown,L,C,10,2,3,5,0,0,0.5,2,5,0,0,0,0,0,0,,,,
Gordie Bruce,L,L,5,2,3,5,0,4,1.0,2,5,0,0,0,0,0,0,,,,
Mike Corrigan,L,L,17,2,3,5,-5,20,0.29,2,4,0,1,0,0,0,0,29,6.9,,
Charlie Bourgeois,R,D,40,2,3,5,-3,194,0.13,1,3,1,2,0,0,0,0,36,5.6,,
Dave Brown,R,R,80,2,3,5,-11,209,0.06,2,5,0,0,0,0,0,0,49,4.1,,
Frank Fredrickson,L,C,10,2,3,5,0,24,0.5,,,,,,,0,0,,,,
Germain Gagnon,L,L,19,2,3,5,-5,2,0.26,1,4,1,1,0,0,0,1,25,8.0,,
John Gallagher,L,D,24,2,3,5,0,27,0.21,1,3,0,0,0,0,0,2,,,,
Gus Giesebrecht,L,C,17,2,3,5,0,0,0.29,2,3,0,2,0,0,2,2,,,,
Murray Henderson,L,D,41,2,3,5,0,23,0.12,2,4,0,1,0,0,0,0,,,,
Gord Labossiere,R,C,10,2,3,5,2,28,0.5,2,4,0,1,0,0,0,0,14,14.3,,
Inge Hammarstrom,L,L,13,2,3,5,-1,4,0.38,2,5,0,0,0,0,0,1,21,9.5,,
Randy Holt,R,D,21,2,3,5,-1,83,0.24,2,5,0,0,0,0,0,1,15,13.3,,
Doug Roberts,R,R,16,2,3,5,-15,46,0.31,2,2,0,3,0,0,0,0,23,8.7,,
Craig Levie,R,D,16,2,3,5,0,32,0.31,2,4,0,1,0,0,0,0,33,6.1,,
Joe Szura,L,C,7,2,3,5,1,2,0.71,1,4,1,1,0,0,0,0,9,22.2,,
Kevin McCarthy,R,D,21,2,3,5,0,20,0.24,2,3,0,2,0,0,0,0,26,7.7,,
Jay Miller,L,L,48,2,3,5,-8,243,0.1,2,5,0,0,0,0,0,0,20,10.0,,
Mickey Redmond,R,R,16,2,3,5,1,2,0.31,1,4,1,1,0,0,1,1,33,6.1,,
Denny Felsner,L,L,10,2,3,5,4,2,0.5,1,4,1,1,0,0,0,0,7,28.6,,
Jason Marshall,R,D,43,2,3,5,0,55,0.12,1,4,1,1,0,0,0,1,33,6.1,,
Roman Oksiuta,L,R,10,2,3,5,0,0,0.5,1,3,1,2,0,0,0,0,9,22.2,,
Alexander Selivanov,L,R,13,2,3,5,2,16,0.38,2,5,0,0,0,0,1,1,31,6.5,,0.0
Olli Jokinen,L,C,6,2,3,5,-1,4,0.83,2,5,0,0,0,0,0,0,23,8.7,,48.7
Tyler Arnason,L,C,13,2,3,5,-3,2,0.38,1,3,1,2,0,0,0,0,29,6.9,,47.7
Brian Pothier,L,D,29,2,3,5,0,18,0.17,2,3,0,2,0,0,0,0,30,6.7,,
Mike Weaver,R,D,28,2,3,5,8,14,0.18,2,4,0,0,0,1,0,0,12,16.7,,
Antti Miettinen,R,R,24,2,3,5,-3,10,0.21,2,5,0,0,0,0,0,0,35,5.7,,
Cody McCormick,R,C,27,2,3,5,-2,37,0.19,2,5,0,0,0,0,0,0,22,9.1,,22.2
PA Parenteau,R,R,20,2,3,5,0,4,0.25,2,5,0,0,0,0,0,1,38,5.3,,25.0
Petr Prucha,R,R,24,2,3,5,-2,8,0.21,1,4,1,1,0,0,0,1,44,4.6,,43.3
Tom Gilbert,R,D,17,2,3,5,3,16,0.29,2,4,0,0,0,1,0,0,13,15.4,,
Shane O'Brien,L,D,40,2,3,5,-6,79,0.13,2,5,0,0,0,0,0,0,28,7.1,,
Clayton Stoner,L,D,31,2,3,5,6,36,0.16,2,5,0,0,0,0,0,0,30,6.7,,
Lauri Korpikoski,L,L,30,2,3,5,-12,6,0.17,1,4,0,0,1,1,0,0,27,7.4,,31.1
Andrej Sekera,L,D,46,2,3,5,-1,13,0.11,2,5,0,0,0,0,0,0,41,4.9,,
Patrick Kaleta,R,R,12,2,3,5,3,28,0.42,2,5,0,0,0,0,0,1,13,15.4,,50.0
Robert Bortuzzo,R,D,60,2,3,5,-2,60,0.08,2,5,0,0,0,0,0,1,38,5.3,,
Pontus Aberg,R,L,18,2,3,5,-1,2,0.28,2,5,0,0,0,0,0,1,23,8.7,,
Andrej Sustr,R,D,46,2,3,5,8,36,0.11,2,5,0,0,0,0,0,0,38,5.3,,
Michael Bunting,L,L,13,2,3,5,-2,19,0.38,2,3,0,2,0,0,0,0,15,13.3,,0.0
Travis Dermott,L,D,22,2,3,5,-5,8,0.23,2,5,0,0,0,0,0,0,25,8.0,,
Zach Aston-Reese,L,C,29,2,3,5,-8,8,0.17,1,4,0,0,1,1,0,0,32,6.3,,28.6
Nico Sturm,L,C,22,2,3,5,2,2,0.23,2,5,0,0,0,0,0,0,16,12.5,,33.3
Andy Brickley,L,L,17,1,4,5,-4,4,0.29,1,4,0,0,0,1,0,0,12,8.3,,
Warren Godfrey,L,D,52,1,4,5,-4,42,0.1,1,5,0,0,0,0,0,0,36,,,
Norm Ferguson,R,R,10,1,4,5,-2,7,0.5,1,4,0,1,0,0,0,0,16,6.3,,
Dave Forbes,L,R,45,1,4,5,-1,13,0.11,0,3,0,0,1,2,0,0,28,3.6,,
Bingo Kampman,R,D,45,1,4,5,0,66,0.11,1,5,0,0,0,0,0,0,,,,
Larry Popein,L,C,15,1,4,5,0,6,0.33,1,5,0,0,0,0,0,0,,,,
Des Smith,L,D,23,1,4,5,0,20,0.22,1,5,0,0,0,0,1,1,,,,
Bob Turner,L,D,68,1,4,5,-4,44,0.07,0,4,0,0,1,1,0,0,17,,,
Jim Paek,L,D,27,1,4,5,12,8,0.19,1,4,0,0,0,1,0,0,15,6.7,,
Peter Popovic,L,D,35,1,4,5,3,18,0.14,1,4,0,1,0,0,0,0,17,5.9,,
Bruce Gardiner,R,R,21,1,4,5,-2,8,0.24,1,4,0,0,0,1,1,1,28,3.6,,49.7
Igor Ulanov,L,D,39,1,4,5,-10,84,0.13,1,4,0,1,0,0,0,0,29,3.5,,
Ryan Johnson,L,C,29,1,4,5,0,12,0.17,1,5,0,0,0,0,0,0,10,10.0,,55.7
Glen Metropolit,R,C,30,1,4,5,-8,12,0.17,1,5,0,0,0,0,0,1,35,2.9,,44.4
Steve Begin,L,L,36,1,4,5,-7,30,0.14,1,5,0,0,0,0,0,0,48,2.1,,52.3
Randy Robitaille,L,C,13,1,4,5,-5,8,0.38,0,4,1,1,0,0,0,0,20,5.0,,55.3
Jaroslav Svoboda,L,L,25,1,4,5,1,30,0.2,0,3,1,2,0,0,0,1,27,3.7,,50.0
Karel Pilar,R,D,12,1,4,5,-2,12,0.42,1,4,0,1,0,0,0,0,14,7.1,,
Chris Campoli,L,D,18,1,4,5,3,8,0.28,1,3,0,2,0,0,0,0,10,10.0,,
Alexei Emelin,L,D,39,1,4,5,-3,16,0.13,1,5,0,0,0,0,0,0,28,3.6,,
Jakub Kindl,L,D,20,1,4,5,0,12,0.25,0,3,1,2,0,0,0,1,35,2.9,,
Darroll Powe,L,C,43,1,4,5,-5,17,0.12,1,5,0,0,0,0,0,0,50,2.0,,50.0
Calvin de Haan,L,D,38,1,4,5,-3,6,0.13,1,5,0,0,0,0,0,0,33,3.0,,
Richard Panik,L,R,20,1,4,5,-7,18,0.25,1,5,0,0,0,0,0,0,28,3.6,,0.0
Slater Koekkoek,L,D,23,1,4,5,3,4,0.22,1,5,0,0,0,0,0,0,21,4.8,,
MacKenzie Weegar,R,D,20,1,4,5,1,20,0.25,1,4,0,1,0,0,0,0,45,2.2,,
Lucas Wallmark,L,C,17,1,4,5,-1,8,0.29,1,5,0,0,0,0,0,0,14,7.1,,48.6
Mason Appleton,R,C,19,1,4,5,-3,8,0.26,1,5,0,0,0,0,0,0,30,3.3,,33.3
Mikey Anderson,L,D,18,1,4,5,-10,8,0.28,1,5,0,0,0,0,0,0,22,4.6,,
Logan O'Connor,R,R,31,1,4,5,-1,15,0.16,1,5,0,0,0,0,0,0,37,2.7,,22.2
Gary Bergman,L,D,21,0,5,5,-6,20,0.24,0,4,0,1,0,0,0,0,32,0.0,,
Louis Berlinquette,L,L,11,0,5,5,0,9,0.45,,,,,,,0,0,,,,
Hugh Bolton,L,D,17,0,5,5,0,14,0.29,0,1,0,4,0,0,0,0,,,,
Paul Baxter,R,D,40,0,5,5,-11,162,0.13,0,4,0,1,0,0,0,0,44,0.0,,
Rick Blight,R,R,5,0,5,5,-2,2,1.0,0,4,0,1,0,0,0,0,7,0.0,,
Jack Brownschidle,L,D,26,0,5,5,-6,18,0.19,0,4,0,1,0,0,0,0,48,0.0,,
