Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jean-Gabriel Pageau,R,C,86,24,19,43,24,51,0.5,21,36,3,7,0,0,1,2,176,13.6,,54.1
Artturi Lehkonen,L,L,71,23,20,43,5,44,0.61,18,33,5,8,0,2,2,7,158,14.6,,25.0
Ray Ferraro,L,C,68,21,22,43,-7,54,0.63,12,29,8,13,1,1,2,2,109,19.3,,51.4
John Madden,L,C,141,21,22,43,-2,26,0.3,15,33,2,4,4,6,1,4,318,6.6,,47.9
Randy McKay,R,R,123,20,23,43,7,123,0.35,15,33,5,10,0,0,2,4,164,12.2,,
William Nylander,R,R,54,20,23,43,1,18,0.8,15,34,5,9,0,0,0,3,167,12.0,,57.1
Martin Lapointe,R,R,108,19,24,43,5,202,0.4,12,30,6,12,1,1,1,4,178,10.7,,46.1
Rob Niedermayer,L,C,116,18,25,43,-7,111,0.37,11,33,4,7,3,3,0,3,184,9.8,,49.9
Troy Murray,R,C,113,17,26,43,-32,145,0.38,13,34,4,8,0,1,0,1,137,12.4,,
Dave Bolland,R,C,67,17,26,43,9,84,0.64,11,33,3,7,3,3,0,3,126,13.5,,42.8
Tony Granato,R,R,79,16,27,43,2,141,0.54,12,36,3,6,1,1,1,3,197,8.1,,0.0
Kenny Wharram,R,R,80,16,27,43,6,38,0.54,14,34,2,9,0,0,0,2,130,,,
Terry Crisp,L,C,110,15,28,43,15,40,0.39,13,38,2,2,0,3,0,3,146,10.3,,
Allan Stanley,L,D,109,7,36,43,2,80,0.39,4,29,3,9,0,5,0,0,85,,,
Brian Sutter,L,L,65,21,21,42,-22,249,0.65,13,27,8,13,0,2,0,1,140,15.0,,
Greg Adams,L,L,81,20,22,42,8,16,0.52,13,26,7,16,0,0,3,5,181,11.1,,33.3
Glen Murray,R,R,94,20,22,42,-15,66,0.45,18,38,2,4,0,0,2,3,183,10.9,,42.9
Yanni Gourde,L,C,83,20,22,42,14,54,0.51,14,33,4,5,2,4,1,7,156,12.8,,45.4
Petr Nedved,L,C,71,19,23,42,-13,64,0.59,11,31,7,10,1,1,1,2,154,12.3,,54.1
Mark Napier,L,R,82,18,24,42,2,11,0.51,11,30,6,10,1,2,0,1,124,14.5,,
Shea Weber,R,D,97,18,24,42,-1,106,0.43,10,26,8,14,0,2,0,3,227,7.9,,
Thomas Gradin,R,C,42,17,25,42,4,20,1.0,13,32,4,10,0,0,0,0,80,21.3,,
Anthony Cirelli,L,C,103,17,25,42,-1,38,0.41,16,35,0,5,1,2,1,2,171,9.9,,46.2
Jiri Hudler,L,R,83,16,26,42,-3,40,0.51,8,23,8,19,0,0,0,4,126,12.7,,46.7
Todd Elik,L,L,52,15,27,42,-5,48,0.81,11,30,3,11,1,1,0,1,139,10.8,,
Craig Hartsburg,L,D,61,15,27,42,-28,70,0.69,5,12,10,30,0,0,0,0,193,7.8,,
Todd Bertuzzi,L,R,87,14,28,42,-5,159,0.48,11,30,3,12,0,0,0,0,154,9.1,,37.7
Jamie Macoun,L,D,159,10,32,42,18,169,0.26,9,35,1,6,0,1,0,3,259,3.9,,
Justin Schultz,R,D,81,10,32,42,8,16,0.52,5,25,5,17,0,0,0,2,120,8.3,,
Adam Foote,R,D,170,7,35,42,9,298,0.25,5,30,2,11,0,1,0,1,178,3.9,,
Matt Niskanen,R,D,140,6,36,42,-2,74,0.3,2,33,4,9,0,0,0,0,184,3.3,,
Gordie Drillon,R,R,50,26,15,41,0,10,0.82,23,34,3,7,0,0,2,5,,,,
Kevin Dineen,R,R,59,23,18,41,6,127,0.69,19,31,4,10,0,0,2,5,122,18.9,,
Carl Liscombe,L,L,57,22,19,41,0,20,0.72,17,30,5,11,0,0,0,3,,,,
Rene Robert,R,R,50,22,19,41,-4,73,0.82,20,28,2,13,0,0,3,4,156,14.1,,
Doug Jarvis,L,C,105,14,27,41,0,42,0.39,11,33,1,4,2,4,0,1,127,11.0,,
Behn Wilson,--,D,67,12,29,41,13,194,0.61,9,27,3,14,0,0,0,3,139,8.6,,
Roman Hamrlik,L,D,113,3,38,41,-28,87,0.36,3,23,0,17,0,1,0,0,167,1.8,,0.0
Floyd Curry,R,R,91,23,17,40,0,38,0.44,19,33,3,6,1,1,0,3,,,,
Ruslan Fedotenko,L,L,108,22,18,40,-3,66,0.37,17,32,5,8,0,0,1,4,180,12.2,,52.3
Owen Nolan,R,R,65,21,19,40,-14,66,0.62,15,27,4,11,2,2,0,7,197,10.7,,47.5
Orest Kindrachuk,L,C,76,20,20,40,12,53,0.53,16,35,4,5,0,0,0,4,111,18.0,,
Ted Irvine,L,L,83,16,24,40,-9,115,0.48,14,34,2,6,0,0,1,2,169,9.5,,
Dave Hunter,L,L,105,16,24,40,22,209,0.38,14,37,1,1,1,2,0,0,154,10.4,,
Ulf Dahlen,L,R,85,15,25,40,-31,12,0.47,8,23,7,17,0,0,1,2,160,9.4,,33.3
Dmitri Khristich,R,R,75,15,25,40,1,41,0.53,8,26,7,13,0,1,0,2,119,12.6,,49.0
Andrew Cogliano,L,C,131,13,27,40,1,59,0.31,10,35,0,0,3,5,0,3,186,7.0,,37.8
Brayden Schenn,L,C,75,11,29,40,-14,66,0.53,7,25,4,15,0,0,1,1,130,8.5,,46.6
Morgan Rielly,L,D,57,11,29,40,14,31,0.7,9,31,2,9,0,0,1,2,143,7.7,,0.0
Brad Stuart,L,D,142,10,30,40,14,77,0.28,8,28,2,11,0,1,0,1,173,5.8,,100.0
Ron Sutter,R,C,104,8,32,40,-9,193,0.38,7,37,1,3,0,0,0,1,162,4.9,,50.9
Alexander Edler,L,D,93,8,32,40,11,78,0.43,5,29,3,11,0,0,0,0,178,4.5,,
Bryan Bickell,L,L,75,20,19,39,21,42,0.52,16,34,4,5,0,0,2,3,134,14.9,,37.5
Ryan Callahan,R,R,121,20,19,39,6,89,0.32,13,30,6,8,1,1,0,3,272,7.4,,38.5
Nick Metz,L,L,76,19,20,39,0,31,0.51,14,27,4,10,1,2,1,6,,,,
Alexandre Burrows,L,R,85,19,20,39,8,142,0.46,16,33,2,5,1,1,3,3,182,10.4,,28.3
Gerard Gallant,L,L,58,18,21,39,-18,178,0.67,15,28,3,11,0,0,0,2,119,15.1,,
